[478158,358996] [476996,381018]
[33218,29999] [31988,52032]
[499061,792060] [484982,774958]
[18996,464572] [41011,467304]
[715986,253957] [737001,261071]
[90961,912893] [108067,927023]
[489912,240004] [493013,217998]
[197980,106964] [220006,111004]
[350967,150980] [372001,159020]
[459034,825018] [446954,805999]
[322092,333990] [313932,355000]
[469001,912936] [449999,925107]
[67957,848979] [80052,868038]
[27011,84960] [14904,104017]
[15024,565993] [2955,585082]
[975999,539991] [998005,545204]
[384955,747063] [390051,724965]
[94014,582983] [76999,598071]
[36972,547978] [52044,565017]
[61921,181934] [77051,199030]
[396979,572029] [419003,565996]
[533876,828029] [540012,805990]
[106921,271008] [116018,249990]
[285075,550001] [275915,528970]
[818006,610964] [808898,632020]
[820126,835995] [801986,850056]
[520238,940994] [508954,961004]
[948003,72935] [924992,72932]
[114993,701058] [138009,700881]
[931000,308546] [907995,307786]
[558974,123995] [560036,147026]
[977005,306755] [953992,308237]
[721988,189010] [741022,175990]
[685982,90996] [699031,110059]
[665040,781001] [662852,757987]
[803969,439082] [827009,436962]
[512034,248024] [489984,240995]
[550022,353975] [526997,357170]
[928995,492846] [952070,496083]
[199105,785005] [188971,763984]
[306939,635967] [328018,646009]
[744008,840038] [720988,835990]
[198016,32973] [185992,53029]
[769006,262006] [764855,238981]
[789021,361040] [765997,356864]
[429071,264075] [407959,253957]
[490025,925025] [469961,912961]
[354896,448971] [371041,466008]
[210982,549965] [229024,565015]
[428940,912940] [449037,925113]
[445960,170046] [463088,153901]
[98000,247840] [74988,253054]
[919981,631925] [943004,637128]
[665912,781995] [671088,805028]
[277031,862998] [253995,868202]
[327941,73981] [347040,88014]
[534075,860974] [522961,882065]
[872867,106997] [884016,128080]
[17996,932839] [40013,942041]
[389120,932970] [379935,955026]
[690011,650054] [676969,629976]
[653964,234015] [674060,220998]
[294993,589070] [315021,575931]
[843007,693876] [822962,707012]
[589940,798998] [590156,823013]
[203874,461989] [204723,486001]
[576009,694869] [551978,695427]
[638032,663990] [636900,688007]
[933991,188771] [958011,191057]
[552084,74053] [544914,50985]
[537092,538973] [519975,556019]
[320076,188968] [317868,213027]
[882899,86985] [901070,103006]
[15995,565043] [28024,543976]
[7924,337055] [30017,326992]
[60045,926980] [40990,942031]
[707996,813948] [720180,835011]
[922876,748978] [927029,773018]
[648005,483900] [627987,498024]
[136987,630870] [161016,636044]
[279994,996100] [304044,990988]
[700988,961980] [712235,984000]
[123000,596977] [101991,610054]
[944097,439016] [934946,415998]
[633891,885997] [643010,909028]
[66993,412866] [88033,426000]
[117023,215073] [107919,191996]
[661023,681935] [636969,688060]
[593071,80995] [575998,99037]
[805018,585126] [780942,578972]
[889909,326005] [907044,307982]
[974000,71591] [948994,72276]
[802003,99300] [776990,98715]
[194952,699071] [215006,683965]
[485001,822923] [459971,825022]
[836970,219013] [860016,208984]
[102000,480980] [89907,503037]
[318021,870030] [296982,855967]
[413095,168021] [398984,146985]
[205938,783949] [227004,798018]
[427025,743991] [412859,765001]
[181962,287982] [186062,313010]
[5999,47926] [31035,52217]
[85999,710041] [111008,704865]
[616965,876002] [635063,857970]
[621011,95022] [601952,77978]
[681036,964016] [675876,938962]
[609984,119022] [621133,95998]
[192991,985748] [218023,991105]
[688054,466999] [668968,484074]
[458042,618058] [438999,600922]
[405903,540011] [423008,520934]
[50112,155960] [38862,179068]
[765017,356965] [755952,381059]
[787956,905037] [809002,889944]
[440973,383945] [456082,405024]
[276992,759782] [303000,760250]
[962530,464985] [961741,491003]
[914877,155996] [916079,182000]
[299000,56878] [272995,55688]
[268991,426929] [295003,428177]
[448081,200935] [435967,224042]
[193956,195999] [196068,222009]
[887907,756001] [890214,729989]
[604817,503958] [615006,528031]
[285971,550866] [308027,565053]
[564069,174028] [560880,147981]
[792916,667004] [812039,648974]
[444927,654002] [462004,633999]
[331013,376043] [313986,355975]
[731042,154005] [705981,145953]
[547105,644003] [527979,625914]
[753988,383974] [767005,407004]
[101014,610088] [76998,598952]
[105033,791955] [91879,815013]
[930871,811987] [936049,838025]
[340966,686971] [367017,692200]
[428054,912952] [418997,938013]
[435999,224872] [461007,234090]
[743007,439019] [733938,413949]
[174933,819985] [190002,842010]
[145878,60997] [152045,87012]
[439999,958042] [466039,951894]
[606991,938009] [619095,913974]
[102920,480011] [127023,467975]
[864994,407998] [875081,433010]
[383009,133985] [372909,159009]
[491030,712975] [470946,731000]
[548021,483023] [521977,475951]
[759851,434003] [767058,407967]
[163105,683009] [162401,655997]
[353010,314369] [325987,313677]
[767986,407134] [791015,392947]
[894016,804908] [876989,826041]
[908058,223034] [891986,200972]
[778009,200936] [750965,205063]
[516003,726121] [491996,712979]
[650946,598027] [678029,593968]
[726026,401936] [701950,415042]
[90029,912057] [64955,900948]
[751020,19893] [725962,31053]
[857902,41030] [871042,16904]
[583085,948014] [559971,932992]
[312994,144908] [339000,154117]
[960944,510975] [970168,537026]
[641005,986139] [613987,979916]
[983057,364041] [964933,342980]
[173919,466985] [195102,485005]
[370012,350012] [357975,324926]
[846010,43993] [821987,58037]
[363985,651985] [378040,676036]
[358064,31994] [332974,44102]
[614825,598992] [629023,623021]
[406012,684020] [378997,676720]
[29011,211684] [997,212532]
[244998,794116] [273003,792656]
[758026,105946] [729979,107001]
[558956,123075] [575019,99980]
[954995,888084] [971110,864990]
[65979,65975] [79007,91065]
[873005,327211] [847987,313948]
[327917,73016] [332304,44986]
[431022,592022] [419698,565985]
[155974,191032] [171138,166994]
[417006,844114] [397976,822999]
[992009,959881] [969999,978055]
[732806,638017] [742035,610970]
[306011,635993] [282937,653002]
[893994,353971] [917014,371064]
[512917,248001] [525005,221997]
[870083,990003] [863979,961969]
[515000,269998] [488954,282031]
[935966,451933] [962027,464010]
[771983,538879] [784008,565067]
[459054,825951] [433920,840108]
[538031,292932] [509999,300144]
[973002,638152] [943987,637905]
[381536,785999] [380733,815004]
[533011,828604] [503999,829379]
[269019,479975] [267869,509010]
[448094,200001] [445819,170992]
[729002,107935] [699981,110220]
[212010,288063] [182990,285744]
[288056,106996] [274998,133025]
[774121,779008] [760961,752989]
[242023,618998] [213949,627059]
[574101,733982] [570729,763006]
[913107,75955] [901928,103004]
[167815,420012] [183000,394977]
[922945,748005] [941036,724972]
[54042,345035] [30976,326986]
[775962,608015] [780076,578998]
[273169,792013] [257996,766937]
[504858,392992] [510129,422004]
[916056,182987] [891972,200007]
[902090,153084] [884973,128928]
[295058,428984] [280962,455037]
[263023,461014] [233983,454949]
[235989,833938] [265020,840094]
[444113,654972] [437915,684011]
[926027,487084] [905987,464929]
[630865,172926] [652050,194014]
[737927,261975] [757000,285019]
[434946,549863] [464014,557073]
[950993,112986] [981007,112774]
[688022,466011] [672995,439992]
[948207,72993] [946892,103027]
[476118,381906] [456890,405018]
[597917,218998] [600063,249002]
[206000,578668] [175993,581023]
[220934,111995] [223238,142007]
[696047,824094] [671997,805964]
[607014,483067] [577997,474917]
[552958,74001] [579065,58887]
[741958,175951] [750124,205000]
[943798,637989] [955036,666010]
[523182,587001] [519947,556979]
[879020,647021] [853988,629988]
[578960,979002] [583048,948976]
[191965,973070] [217009,955977]
[490941,925986] [500025,955046]
[364998,381026] [370048,350977]
[175018,581006] [160907,553977]
[94929,582026] [100077,551958]
[813042,514900] [785978,529027]
[770008,702130] [747995,680976]
[40058,942949] [25936,970023]
[972042,821983] [949920,843048]
[20967,694037] [49028,681910]
[237974,23943] [258138,47012]
[67013,848958] [37993,859057]
[860991,208113] [891046,200987]
[538958,292999] [569001,300190]
[516988,726110] [545082,712993]
[730396,75996] [729979,107001]
[533997,828994] [534259,860002]
[303991,760591] [335001,759733]
[413997,168750] [445004,170319]
[897006,542367] [865990,540969]
[804039,6987] [772973,8067]
[105012,791089] [73991,788952]
[66976,412031] [78041,382948]
[603983,190008] [630005,172931]
[635819,857022] [644111,826998]
[650034,598966] [629994,623011]
[72986,350997] [78030,382000]
[658048,302008] [645955,272944]
[58131,439906] [41995,467044]
[147924,53016] [158015,22973]
[706987,363917] [738077,370095]
[16069,615006] [2985,585998]
[289992,944960] [319017,958025]
[640004,52854] [608970,60025]
[807026,421005] [791853,392998]
[506011,30036] [474970,22874]
[957001,759987] [927970,773121]
[485928,822024] [499035,792966]
[305059,677006] [282987,653953]
[958929,191009] [980025,166982]
[29975,211015] [38019,179998]
[564942,174944] [582062,202032]
[135085,505009] [132930,472979]
[602930,350117] [628023,329985]
[766970,735013] [770008,702983]
[814003,994229] [781998,990924]
[834870,891015] [839118,858982]
